enddate,approve,disapprove
1/22/2017,46,37
1/22/2017,45,45
1/24/2017,42.1,45.2
1/23/2017,45,46
1/24/2017,46,45
1/25/2017,36,44
1/25/2017,42.3,45.8
1/24/2017,57,43
1/25/2017,59,41
1/24/2017,44,44
1/25/2017,46,45
1/25/2017,41,35
1/26/2017,42.6,46.4
1/27/2017,44.5,45.5
1/26/2017,55,45
1/26/2017,45,48
1/28/2017,45.4,46
1/27/2017,42,50
1/29/2017,48.2,45.1
1/28/2017,42,51
1/29/2017,53,47
1/28/2017,49,41
1/30/2017,46.8,45.8
1/30/2017,48,50
1/30/2017,51,49
1/29/2017,43,50
1/30/2017,43,51
1/31/2017,45.3,46.9
1/31/2017,43,44
1/31/2017,43,52
1/31/2017,53,47
2/1/2017,45,47.9
2/2/2017,42,48
2/2/2017,45.3,47.4
2/1/2017,53,47
1/31/2017,47,49
2/1/2017,43,52
2/3/2017,44.9,47.7
2/2/2017,54,46
2/2/2017,43,52
2/2/2017,44,53
2/5/2017,46,52
2/4/2017,45.2,47.7
2/2/2017,40,48
2/3/2017,44,50
2/4/2017,48,43
2/5/2017,53,47
2/5/2017,47.5,46.8
2/4/2017,42,53
2/4/2017,47,43
2/6/2017,53,47
2/6/2017,42,51
2/5/2017,42,52
2/6/2017,48,48
2/6/2017,47.1,47.5
2/6/2017,42,54
2/7/2017,47.5,47.6
2/8/2017,47.5,47.6
2/7/2017,43,52
2/6/2017,48.1,47.2
2/7/2017,41,48
2/7/2017,53,47
2/9/2017,47.8,46.4
2/8/2017,43,52
2/8/2017,53,47
2/9/2017,52,48
2/8/2017,43,53
2/10/2017,46.7,47.6
2/9/2017,42,52
2/12/2017,46,53
2/11/2017,46.7,47.5
2/10/2017,41,53
2/12/2017,46.3,48.4
2/11/2017,40,55
2/12/2017,52,48
2/10/2017,49,45
2/12/2017,39,56
2/13/2017,52,48
2/12/2017,40,54
2/13/2017,46.3,48.5
2/13/2017,48,52
2/13/2017,48,47
2/14/2017,45.3,50.6
2/13/2017,40,54
2/14/2017,40,53
2/14/2017,43,47
2/14/2017,53,47
2/15/2017,45.8,50.4
2/15/2017,40,54
2/16/2017,45.9,50.2
2/15/2017,55,45
2/16/2017,55,45
2/17/2017,45,53
2/16/2017,38,56
2/17/2017,45.1,51.1
2/18/2017,44.3,52.1
2/17/2017,40,55
2/19/2017,43,54
2/19/2017,41,52
2/19/2017,45.3,50.5
2/18/2017,41,55
2/19/2017,51,49
2/19/2017,39,50
2/20/2017,45.5,49.9
2/19/2017,49,44
2/19/2017,42,53
2/20/2017,50,50
2/18/2017,41,47
2/20/2017,51,44
2/20/2017,43,51
2/21/2017,45.1,50
2/21/2017,39,51
2/21/2017,38,55
2/20/2017,41,53
2/22/2017,43,46
2/22/2017,44,48
2/21/2017,42,52
2/21/2017,51,49
2/22/2017,46,47.1
2/23/2017,44,54
2/22/2017,52,47
2/23/2017,45.8,47.3
2/22/2017,43,52
2/23/2017,53,47
2/24/2017,45.1,48
2/23/2017,43,52
2/22/2017,45,48
2/25/2017,45.1,47.9
2/24/2017,41,53
2/26/2017,45.6,48.2
2/26/2017,51,49
2/25/2017,41,54
2/27/2017,46.1,48.3
2/27/2017,50,50
2/26/2017,42,54
2/26/2017,50,45
2/27/2017,42,54
2/28/2017,46.1,48.4
3/1/2017,45.7,49.2
3/2/2017,45,53
2/28/2017,50,50
3/1/2017,41,50
2/28/2017,43,52
3/1/2017,52,48
3/4/2017,41,53
3/1/2017,43,51
3/2/2017,45.8,48.8
3/3/2017,45.6,48.7
3/2/2017,53,47
3/2/2017,43,51
3/3/2017,43,51
3/4/2017,45.4,48.2
3/4/2017,43,50
3/4/2017,45,52
3/5/2017,48,51
3/5/2017,52,48
3/5/2017,46.8,46.7
3/5/2017,46.9,44
3/6/2017,47.6,46
3/5/2017,44,50
3/6/2017,50,45
3/6/2017,51,49
3/5/2017,43,46
3/6/2017,41,52
3/7/2017,45,46
3/6/2017,40,45
3/6/2017,43,51
3/7/2017,47.6,46
3/12/2017,43,55
3/8/2017,48.3,45.6
3/7/2017,49,51
3/7/2017,42,53
3/9/2017,47,52
3/7/2017,42,49
3/8/2017,41,53
3/11/2017,44,51
3/9/2017,49,45.3
3/8/2017,49,51
3/10/2017,48.7,46.2
3/9/2017,48,52
3/9/2017,42,52
3/10/2017,44,49
3/11/2017,47.9,46.9
3/12/2017,36,58
3/12/2017,47,53
3/12/2017,47.1,47.8
3/11/2017,45,49
3/13/2017,52,43
